upc,name,price,stock
060000022303,"Del Monte Diced Peaches in Light Syrup",2.97,100
061522930015,"SunRype fruit to go Raspberry 14g",0.4,100
681131911283,"Great Value PEACH FRUITBOWL",2,100
057961018629,"Sun-Rype FruitSource, 100% Fruit - 12x37g Variety Pack",9.97,100
058716990351,"Planters Naturals - Raw Pecan Halves - 175g",6.97,100
065633440845,"Nature Valley™ Granola Thins Chocolate",3.47,100
057961118817,"SunRype Squiggles Strawberry 126g",2.97,100
041143025734,"Sunmaid Mini Raisins 14g",2.57,100
059527551595,"Taste of Nature Gluten Free Quebec Cranberry Carnival Organic Granola Bars Family Pack",4.77,100
041570074794,"Honey roasted almonds",4.37,100
058716990160,"Planters - Lightly Sea Salted Cocktail Peanuts - 300g",3.97,100
058716972111,"Planters - Natural California Almonds - 700g",12.97,100
041570053898,"Bold wasabi and soy",4.37,100
010300333074,"EmeraldTM Smoked Almonds",5.97,100
010300533276,"EmeraldTM Deluxe Mixed Nuts",5.97,100
058716972739,"Planters - Roasted & Salted Soy Nuts - 225g",2.47,100
058716970490,"Planters - Salted Cashews - 275g",5.97,100
058716990344,"Planters - Raw Almonds - 275g",4.97,100
058716990207,"Planters - Raw Mixed Nuts with 35% Almonds - 250g",5.97,100
041570053850,"Lime and chili almonds",4.37,100
058716990153,"Planters - Lightley Sea Salted Cashews - 275g",5.97,100
058716985012,"Planters - Roasted Peanuts - 250g",1.97,100
065633432055,"Fibre 1™ Brownies Chocolately Fudge",3.47,100
065633432086,"Fibre 1™ Brownies Chocolate Peanut Butter",3.47,100
058716990832,"Planters-Walnut Halves with Pieces-400g",9.98,100
058716972913,"Planters - Barbecue Soy Nuts - 225g",2.47,100
058716989287,"Planters - Cracked Black Pepper Cashews - 275g",5.97,100
605388342744,"Great Value Rice Pudding",2.27,100
058716990184,"Planters - lightly Sea Salted Almonds - 275g",4.97,100
058716989713,"Planters Sensible Snacking - Natural Walnuts - 140g",5.97,100
058716970506,"Planters - No Salt Added Cashews - 275g",5.97,100
058716971602,"Planters Trail Mix - Mixed Nut & Raisin - 350g",4.27,100
058716972043,"Planters - Macadamia Cashew Mix W/Almonds - 225g",5.97,100
770795005749,"Dan-D-Pak Cashews - Salted",10.97,100
065633432048,"Fibre 1™ 100 Calories Chocolate Caramel & Pretzel",3.47,100
058449891468,"Nature's Path Organic Mmmaple Pecan Flax Plus Granola Bar",4.27,100
078024063110,"Amoy light soy sayuce 500ml",1.98,100
065633440852,"Nature Valley™ Granola Thins Peanut Butter",3.47,100
058716971619,"Planters Trail Mix - Deluxe Nut & Fruit - 350g",4.27,100
605388342669,"Great Value English Custard",2.27,100
058449891000,"Nature's Path Organic Sunny Hemp Trail Mix Granola Bars",3.77,100
058716970469,"Planters - Salted Mixed Nuts 60% Peanuts - 300g",3.97,100
041570032626,"Smoked almonds",4.37,100
010300866077,"EmeraldTM Cocoa Roast Almonds",5.97,100
058716971404,"Planters - Cocktail Peanuts - 600g",4.97,100
058449891352,"Nature's Path Organic Peanut Choco Crunchy Granola Bar",3.77,100
058449892045,"Nature's Path Organic Macaroon Crunch Granola Bars",3.77,100
058449891017,"Nature's Path Organic Pumpkin-N-Spice Flax Plus Granola Bar",3.77,100
058716971367,"Planters - Delicately Seasoned Dry Roasted Peanuts - 550g",4.97,100
058449430216,"Nature's Path Envirokidz Lemur Peanut Choco Drizzle Crispy Rice Bar",3.77,100
058449430001,"Nature's Path Envirokidz Gluten Free Koala Crispy Rice Chocolate Cereal Bars",3.77,100
058449891420,"Nature's Path Organic Flax Plus Berry Strawberry Granola Bar",3.77,100
060000021900,"Del Monte Very Cherry In Light Syrup",2.97,100
812542005050,"Kernels - Krazy Ketchup Popcorn Seasoning - 125g",2.77,100
058449891284,"Nature's Path Organic Chococonut Granola Bars",3.77,100
058807600091,"Orville Redenbacher's Gourmet Popcorn",3.47,100
058449430018,"Nature's Path Envirokidz Gluten Free Panda Crispy Rice Peanut Butter Cereal Bars",3.77,100
076150215168,"Act II Microwave Popcorn! - Butter Flavour",2,100
628915009170,"Our Finest Kettle Cooked Sea Salt & Malt Vinegar Chips",2,100
084114119131,"Kettle Chips Salt and Fresh Ground Pepper Gluten Free Potato Chips",3,100
084114119032,"Kettle Chips Sea Salt Gluten Free Potato Chips",3,100
084114119049,"Kettle Chips Sea Salt and Vinegar Gluten Free Potato Chips",3,100
058807500827,"Orville Redenbacher's Gourmet Popping Corn - Smart Pop",3,100
058807500889,"Orville Redenbacher's® Pop Up Bowl Select White 6 Pack Popcorn",4.77,100
065633458130,"Bugles Original",2.47,100
031146215560,"Nongshim Shrimp Cracker Family Size",3.98,100
058807500896,"Orville Redenbacher's Gourmet Popping Corn",3,100
605388932983,"Butter Flavor Microwave Popcorn 564g",2.47,100
084114119056,"Kettle Chips Honey Dijon Gluten Free Potato Chips",3,100
064100852792,"Pringles Snack Original",3.47,100
681131408578,"Butter Flavor Microwave Popcorn 282g",1.47,100
815506015508,"WG Ketchup Kettle Chips",2.5,100
681131713108,"Great Value Salsa Mild 650Ml",2.97,100
812542005043,"Kernels - All Dressed Up Popcorn Seasoning - 110g",2.77,100
084114110404,"Kettle Chips Sea Salt Gluten Free Bakes Potatoe Chips",3,100
728229129417,"Terra Sweets & Beets",4.97,100
681131408493,"Light 50% Less Fat Butter Flavor Popcorn 255g",1.47,100
628915009156,"Our Finest Kettle Cooked Sea Salt Chips",2,100
064100852532,"Pringles Multigrain Original",2.47,100
084114119087,"Kettle Chips Gluten Free Low Sodium Potato Chips",3,100
058807489856,"Orville Redenbacher's® Flavour Shakers White Cheddar 5-Pack Popcorn",4.77,100
069112008823,"Seaweed For Sushi",2.26,100
064100852396,"Pringles Stix Honey Butter",2.77,100
015839010069,"Garden of Eatin' Sesame Blues",3.77,100
058807500858,"Orville Redenbacher's Gourmet Popping Corn",6.97,100
084114110381,"Kettle Chips Hickory Honey Barbeque Gluten Free Bakes Potato Chips",3,100
